VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio
6213,MHW LTD,5921,RumChata Liqueur,14.81,21.99,750.0,17419,257975.38999999998,14335.0,303232.64999999997,168906.47999999998,11290.630000000001,9621.58,45257.25999999998,14.924929752782223,0.8229519490211837,1.1754324705158892
1392,CONSTELLATION BRANDS INC,40096,Black Box Cab Svgn,10.52,16.99,3000.0,24452,257235.04,22673.0,413379.26999999996,184209.84,10202.85,79528.99,156144.22999999995,37.772631898063,0.927245215115328,1.6070099547868748
17035,PERNOD RICARD USA,2756,Jameson Caskmates,22.89,29.99,750.0,11220,256825.8,8974.0,266678.26,174049.53,7071.13,123780.22,9852.460000000021,3.694511881095977,0.7998217468805704,1.0383624230898922
9165,ULTRA BEVERAGE COMPANY LLP,15094,Butter Chard,9.08,14.99,750.0,28274,256727.91999999998,23190.0,336779.62,98368.6,2596.56,68054.7,80051.70000000001,23.76975780185274,0.8201881587324044,1.3118153257347311
8112,MOET HENNESSY USA INC,8612,Grand Marnier,45.79,67.99,1750.0,5583,255645.57,4890.0,313544.1,220747.72999999998,8988.710000000001,48347.26,57898.52999999997,18.465833035926995,0.8758731864588931,1.2264796921769463
9815,WINE GROUP INC,6349,Glen Ellen Chard RSV,4.63,6.99,1500.0,55151,255349.13,51485.0,359880.15,94875.27,11564.460000000001,27100.41,104531.02000000002,29.046064363372086,0.9335279505358017,1.4093650916296445
12546,JIM BEAM BRANDS COMPANY,3351,Pinnacle Whipped Vodka,13.27,16.99,1750.0,19227,255142.29,17262.0,291024.38,162493.68999999997,31719.12,123880.97,35882.09,12.32958214703524,0.8977999687938836,1.140635603764472
3664,WILLIAM GRANT & SONS INC,8021,Glenfiddich Special Rsv 12,31.49,39.99,750.0,8081,254470.69,5984.0,263127.16000000003,184155.28,4716.47,30234.420000000002,8656.47000000003,3.2898428273234996,0.7405024130676896,1.0340175522768458
9165,ULTRA BEVERAGE COMPANY LLP,3788,Patron Silver Tequila,19.99,27.99,375.0,12664,253153.36,10189.0,282074.11,179273.33,3997.85,68054.7,28920.75,10.252890632181733,0.8045641187618446,1.114242015195848
11567,CAMPARI AMERICA,8107,Wild Turkey 101,26.71,36.99,1750.0,9472,252997.12,8436.0,299880.64,194460.36000000002,15505.960000000001,20964.81,46883.52000000002,15.634060271446673,0.890625,1.1853124652169955
8112,MOET HENNESSY USA INC,2692,Glenmorangie 10 Yr Scotch,26.31,41.99,750.0,9588,252260.28,8105.0,290971.95,185917.58000000002,6386.5,48347.26,38711.67000000001,13.304261802555198,0.8453274926992074,1.153459236626551
1128,BROWN-FORMAN CORP,1237,Jack Daniels Single Barrel,33.83,44.99,750.0,7418,250950.94,5913.0,270480.87,158970.46000000002,4659.54,68601.68,19529.929999999993,7.220447789893604,0.7971151253707198,1.0778236973330324
